Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,6150.000000,6150.000000,6050.000000,6075.000000,5096.095703,838200
2021-07-19,6075.000000,6225.000000,6025.000000,6150.000000,5159.010254,1871800
2021-07-21,6175.000000,6225.000000,6050.000000,6050.000000,5075.124023,1581300
2021-07-22,6075.000000,6175.000000,6050.000000,6100.000000,5117.066895,1793100
2021-07-23,6100.000000,6125.000000,5950.000000,5950.000000,4991.237793,2172400
2021-07-26,5950.000000,6075.000000,5950.000000,6050.000000,5075.124023,1772300
2021-07-27,6100.000000,6150.000000,5750.000000,5925.000000,4970.266113,3153000
2021-07-28,5950.000000,5975.000000,5675.000000,5700.000000,4781.521484,2438300
2021-07-29,5950.000000,6125.000000,5750.000000,6000.000000,5033.180664,7042600
2021-07-30,6100.000000,6275.000000,5800.000000,5900.000000,4949.293945,2934200
2021-08-02,5950.000000,6075.000000,5900.000000,5950.000000,4991.237793,1286400
2021-08-03,5950.000000,6000.000000,5900.000000,5950.000000,4991.237793,2405100
2021-08-04,6000.000000,6075.000000,5900.000000,5975.000000,5012.209473,1483100
2021-08-05,6025.000000,6100.000000,5900.000000,6100.000000,5117.066895,1616800
2021-08-06,6100.000000,6200.000000,6000.000000,6150.000000,5159.010254,2123000
2021-08-09,6050.000000,6175.000000,5950.000000,6000.000000,5033.180664,1046600
2021-08-10,6000.000000,6175.000000,5800.000000,6175.000000,5179.981934,2382400
2021-08-12,6200.000000,6525.000000,6100.000000,6325.000000,5305.811035,5204700
2021-08-13,6350.000000,6700.000000,6325.000000,6500.000000,5452.612793,6732100
2021-08-16,6575.000000,6575.000000,6100.000000,6275.000000,5263.868164,5737200
2021-08-18,6100.000000,6100.000000,5875.000000,5975.000000,5012.209473,4825700
2021-08-19,5975.000000,6350.000000,5950.000000,6100.000000,5117.066895,4699100
2021-08-20,6000.000000,6600.000000,6000.000000,6525.000000,5473.584473,3325400
2021-08-23,6500.000000,6600.000000,6425.000000,6500.000000,5452.612793,1067700
2021-08-24,6450.000000,6525.000000,6350.000000,6350.000000,5326.782715,546300
2021-08-25,6350.000000,6500.000000,6325.000000,6425.000000,5389.697266,731000
2021-08-26,6525.000000,6550.000000,6350.000000,6400.000000,5368.725586,961200
2021-08-27,6400.000000,6400.000000,6350.000000,6350.000000,5326.782715,271500
2021-08-30,6500.000000,6525.000000,6350.000000,6425.000000,5389.697266,766400
2021-08-31,6425.000000,6450.000000,6325.000000,6325.000000,5305.811035,990600
2021-09-01,6325.000000,6375.000000,6200.000000,6250.000000,5242.896484,1532200
2021-09-02,6250.000000,6325.000000,6200.000000,6300.000000,5284.839355,289700
2021-09-03,6300.000000,6375.000000,6250.000000,6300.000000,5284.839355,568000
2021-09-06,6300.000000,6750.000000,6275.000000,6600.000000,5536.499023,2895900
2021-09-07,6600.000000,6850.000000,6600.000000,6700.000000,5620.385254,3448700
2021-09-08,6700.000000,6800.000000,6475.000000,6475.000000,5431.640625,1909500
2021-09-09,6475.000000,6750.000000,6475.000000,6675.000000,5599.413574,1401000
2021-09-10,6725.000000,6800.000000,6650.000000,6675.000000,5599.413574,2977500
2021-09-13,6675.000000,6800.000000,6500.000000,6725.000000,5641.356934,1248000
2021-09-14,6775.000000,7125.000000,6725.000000,6975.000000,5851.072266,6493600
2021-09-15,7000.000000,7125.000000,6900.000000,7000.000000,5872.043945,1966800
2021-09-16,7000.000000,7275.000000,7000.000000,7125.000000,5976.902344,5285400
2021-09-17,7550.000000,7675.000000,6775.000000,6900.000000,5788.157715,16863400
2021-09-20,6900.000000,7050.000000,6775.000000,6800.000000,5704.271484,6565800
2021-09-21,6800.000000,6925.000000,6750.000000,6850.000000,5746.214844,2045900
2021-09-22,6950.000000,6950.000000,6650.000000,6725.000000,5641.356934,3160200
2021-09-23,6725.000000,6800.000000,6550.000000,6700.000000,5620.385254,5424900
2021-09-24,6700.000000,6700.000000,6500.000000,6600.000000,5536.499023,3992400
2021-09-27,6700.000000,6700.000000,6350.000000,6400.000000,5368.725586,4441300
2021-09-28,6400.000000,6500.000000,6275.000000,6275.000000,5263.868164,3521400
2021-09-29,6275.000000,6450.000000,6250.000000,6450.000000,5410.668945,1357800
2021-09-30,6450.000000,6800.000000,6350.000000,6650.000000,5578.442383,4892000
2021-10-01,6650.000000,6650.000000,6250.000000,6275.000000,5263.868164,4768000
2021-10-04,6325.000000,6525.000000,6275.000000,6375.000000,5347.753906,2703700
2021-10-05,6375.000000,6450.000000,6300.000000,6400.000000,5368.725586,2197500
2021-10-06,6400.000000,6450.000000,6350.000000,6375.000000,5347.753906,2286600
2021-10-07,6300.000000,6450.000000,6275.000000,6400.000000,5368.725586,3374100
2021-10-08,6400.000000,6475.000000,6325.000000,6350.000000,5326.782715,3690200
2021-10-11,6350.000000,6450.000000,6300.000000,6300.000000,5284.839355,2224100
2021-10-12,6300.000000,6400.000000,6150.000000,6150.000000,5159.010254,4268700
2021-10-13,6175.000000,6275.000000,6050.000000,6100.000000,5117.066895,4609900
2021-10-14,6100.000000,6275.000000,6100.000000,6275.000000,5263.868164,4115100
2021-10-15,6325.000000,6625.000000,6275.000000,6500.000000,5452.612793,5169700
2021-10-18,6500.000000,6800.000000,6450.000000,6800.000000,5704.271484,4572700
2021-10-19,6800.000000,6975.000000,6800.000000,6900.000000,5788.157715,4584600
2021-10-21,6900.000000,6950.000000,6675.000000,6900.000000,5788.157715,5904100
2021-10-22,6900.000000,7575.000000,6850.000000,7175.000000,6018.845215,10201500
2021-10-25,7200.000000,7375.000000,6950.000000,6975.000000,5851.072266,4344400
2021-10-26,7050.000000,7100.000000,6900.000000,6925.000000,5809.129395,1235400
